,Time Averaged Accuracy,Time Averaged Spreading,Heterogeneity,seekers,explorers,isocontours
0,0.0145359999999999,0.7214206666666667,0.0,0,0,50
0,0.012062,0.7369206666666666,0.02,0,1,49
0,0.0117826666666666,0.6835953333333332,0.04,0,2,48
0,0.0117486666666666,0.6668813333333334,0.06,0,3,47
0,0.0112686666666666,0.653574,0.08,0,4,46
0,0.0117713333333333,0.6669246666666666,0.1,0,5,45
0,0.0120333333333333,0.6643926666666666,0.12,0,6,44
0,0.012038,0.6942173333333334,0.14,0,7,43
0,0.0132893333333333,0.6785986666666666,0.16,0,8,42
0,0.0118233333333333,0.592512,0.18,0,9,41
0,0.0126553333333333,0.663302,0.2,0,10,40
0,0.0120253333333333,0.5630593333333332,0.22,0,11,39
0,0.012306,0.6323526666666667,0.24,0,12,38
0,0.0130626666666666,0.6584253333333333,0.26,0,13,37
0,0.0111766666666666,0.5506033333333333,0.28,0,14,36
0,0.012136,0.5592493333333334,0.3,0,15,35
0,0.0114386666666666,0.5786846666666667,0.32,0,16,34
0,0.014198,0.4907453333333333,0.34,0,17,33
0,0.014598,0.6462973333333334,0.36,0,18,32
0,0.0151873333333333,0.5676053333333333,0.38,0,19,31
0,0.012514,0.5758933333333333,0.4,0,20,30
0,0.014652,0.6886113333333332,0.42,0,21,29
0,0.011776,0.6002426666666667,0.44,0,22,28
0,0.0153093333333333,0.5344793333333334,0.46,0,23,27
0,0.0117419999999999,0.5056746666666666,0.48,0,24,26
0,0.0174313333333333,0.4801373333333332,0.5,0,25,25
0,0.0121733333333333,0.4993326666666667,0.52,0,26,24
0,0.0129506666666666,0.4679693333333333,0.54,0,27,23
0,0.011656,0.4541326666666667,0.56,0,28,22
0,0.013436,0.5149513333333333,0.58,0,29,21
0,0.0127793333333333,0.55726,0.6,0,30,20
0,0.0132373333333333,0.534472,0.62,0,31,19
0,0.0120486666666666,0.4553193333333333,0.64,0,32,18
0,0.0137833333333333,0.4275273333333333,0.66,0,33,17
0,0.013952,0.46115,0.68,0,34,16
0,0.0120379999999999,0.571846,0.7,0,35,15
0,0.0137373333333333,0.4665159999999999,0.72,0,36,14
0,0.0130286666666666,0.5038066666666667,0.74,0,37,13
0,0.0139786666666666,0.4355806666666667,0.76,0,38,12
0,0.0116326666666666,0.4613099999999999,0.78,0,39,11
0,0.0190539999999999,0.446872,0.8,0,40,10
0,0.01771,0.496872,0.82,0,41,9
0,0.012034,0.4064173333333333,0.84,0,42,8
0,0.0140473333333333,0.4449953333333333,0.86,0,43,7
0,0.0107273333333333,0.4252046666666667,0.88,0,44,6
0,0.014648,0.4907113333333333,0.9,0,45,5
0,0.011966,0.4414186666666666,0.92,0,46,4
0,0.010806,0.9713873333333332,0.94,0,47,3
0,0.010524,5.955132,0.96,0,48,2
0,0.012246,inf,0.98,0,49,1
