Time,ID,Ne,Area Coverage
0.0,3,,
0.0,4,,
0.0,5,,
0.0,6,,
0.0,7,,
0.0,8,,
0.0,9,,
0.0,10,,
0.1,3,1.0,157.08
0.1,4,1.0,157.08
0.1,5,1.0,157.08
0.1,6,1.0,157.08
0.1,7,0.0,314.159
0.1,8,0.0,314.159
0.1,9,1.0,157.08
0.1,10,1.0,157.08
0.2,3,1.0,157.08
0.2,4,1.0,157.08
0.2,5,1.0,157.08
0.2,6,1.0,157.08
0.2,7,0.0,314.159
0.2,8,0.0,314.159
0.2,9,1.0,157.08
0.2,10,1.0,157.08
0.3,3,1.0,157.08
0.3,4,1.0,157.08
0.3,5,1.0,157.08
0.3,6,1.0,157.08
0.3,7,0.0,314.159
0.3,8,0.0,314.159
0.3,9,1.0,157.08
0.3,10,1.0,157.08
0.4,3,1.0,157.08
0.4,4,1.0,157.08
0.4,5,1.0,157.08
0.4,6,1.0,157.08
0.4,7,0.0,314.159
0.4,8,0.0,314.159
0.4,9,1.0,157.08
0.4,10,1.0,157.08
0.5,3,1.0,157.08
0.5,4,1.0,157.08
0.5,5,1.0,157.08
0.5,6,1.0,157.08
0.5,7,0.0,314.159
0.5,8,0.0,314.159
0.5,9,1.0,157.08
0.5,10,1.0,157.08
0.6,3,1.0,157.08
0.6,4,1.0,157.08
0.6,5,1.0,157.08
0.6,6,1.0,157.08
0.6,7,0.0,314.159
0.6,8,0.0,314.159
0.6,9,1.0,157.08
0.6,10,1.0,157.08
0.7,3,1.0,157.08
0.7,4,1.0,157.08
0.7,5,1.0,157.08
0.7,6,1.0,157.08
0.7,7,0.0,314.159
0.7,8,0.0,314.159
0.7,9,1.0,157.08
0.7,10,1.0,157.08
0.8,3,1.0,157.08
0.8,4,1.0,157.08
0.8,5,1.0,157.08
0.8,6,1.0,157.08
0.8,7,0.0,314.159
0.8,8,0.0,314.159
0.8,9,1.0,157.08
0.8,10,1.0,157.08
0.9,3,1.0,157.08
0.9,4,1.0,157.08
0.9,5,2.0,104.72
0.9,6,1.0,157.08
0.9,7,0.0,314.159
0.9,8,1.0,157.08
0.9,9,1.0,157.08
0.9,10,1.0,157.08
1.0,3,1.0,157.08
1.0,4,1.0,157.08
1.0,5,2.0,104.72
